Treatment,Beetle,Plant_ID,V_15,V_16,V_17,V_18,V_19,V_20,V_21,V_22
Control,No beetle,C-Sb-1,,,,,,,,
Control,No beetle,C-Sb-2,,,,,16,,,
Control,No beetle,C-Sb-3,,,,,13.14285714,13.42857143,13.71428571,16.28571429
Control,No beetle,C-Sb-4,12.85714286,,,,12.28571429,12.85714286,13.14285714,16.28571429
Control,No beetle,C-Sb-5,,,,,13.42857143,14,14.57142857,16.28571429
Control,No beetle,C-Sb-6,,,,,12.57142857,13.14285714,13.42857143,
Control,No beetle,C-Sb-7,13.14285714,,,,13.42857143,13.71428571,14,
Control,No beetle,C-Sb-8,,,,,14.85714286,16,,
Control,Beetle,C-MBB-1,,,,,12.57142857,13.14285714,13.42857143,16.28571429
Control,Beetle,C-MBB-2,13.14285714,,,,12.85714286,13.14285714,13.42857143,
Control,Beetle,C-MBB-3,12.85714286,,,,12.85714286,13.42857143,14,16.28571429
Control,Beetle,C-MBB-4,,,,,12,12.57142857,15.14285714,
Control,Beetle,C-MBB-5,,,,,13.14285714,13.42857143,14.28571429,
Control,Beetle,C-MBB-6,,,,,13.42857143,14,14.28571429,16.28571429
Control,Beetle,C-MBB-7,,,,,12.57142857,12.85714286,13.14285714,16.28571429
Control,Beetle,C-MBB-8,,,,,14.28571429,14.57142857,16.28571429,
Control,No beetle,C-Ex-1,12.85714286,,,,12.57142857,13.14285714,13.71428571,16.28571429
Control,No beetle,C-Ex-2,,,,,12.85714286,13.42857143,13.71428571,16.28571429
Control,No beetle,C-Ex-3,,,,,14.28571429,15.14285714,16,
Control,No beetle,C-Ex-4,,,,,13.42857143,14,14.57142857,18.57142857
Control,No beetle,C-Ex-5,,,,,12.57142857,13.14285714,15.42857143,17.14285714
Microplastic,No beetle,MP-Sb-1,13.14285714,,,,14.28571429,14.57142857,15.42857143,17.14285714
Microplastic,No beetle,MP-Sb-2,12,,,,12.57142857,13.14285714,13.42857143,16.28571429
Microplastic,No beetle,MP-Sb-3,12.57142857,,,,13.42857143,14.28571429,14.85714286,17.42857143
Microplastic,No beetle,MP-Sb-4,13.14285714,,,,13.14285714,13.71428571,14.57142857,16.57142857
Microplastic,No beetle,MP-Sb-5,11.71428571,,,,13.42857143,14,14.57142857,17.14285714
Microplastic,No beetle,MP-Sb-6,12,,,,12.85714286,13.42857143,14,16.28571429
Microplastic,No beetle,MP-Sb-7,11.71428571,12,12.85714286,13.14285714,13.71428571,14,14.85714286,16.28571429
Microplastic,No beetle,MP-Sb-8,12,,,,12,12.85714286,13.71428571,16.28571429
Microplastic,Beetle,MP-MBB-1,13.14285714,,,,12,12.57142857,13.14285714,16
Microplastic,Beetle,MP-MBB-2,,,,,13.14285714,13.71428571,16,18
Microplastic,Beetle,MP-MBB-3,,,,,14.85714286,15.42857143,16.28571429,18
Microplastic,Beetle,MP-MBB-4,12.85714286,,,,14.85714286,15.14285714,16.28571429,18
Microplastic,Beetle,MP-MBB-5,,,,,12,12.57142857,13.14285714,16
Microplastic,Beetle,MP-MBB-6,13.14285714,,,,11.71428571,12.85714286,14.28571429,18.28571429
Microplastic,Beetle,MP-MBB-7,12.28571429,,,,13.14285714,13.42857143,13.71428571,16.28571429
Microplastic,Beetle,MP-MBB-8,12.28571429,12.57142857,,,12.57142857,13.14285714,13.42857143,16.28571429
Microplastic,No beetle,MP-Ex-1,11.71428571,,,,12,12.57142857,13.14285714,16.28571429
Microplastic,No beetle,MP-Ex-2,12,13.14285714,,,13.71428571,14,14.57142857,17.14285714
Microplastic,No beetle,MP-Ex-3,12.28571429,13.14285714,,,12,12.57142857,13.14285714,16.28571429
Microplastic,No beetle,MP-Ex-4,12,14.57142857,,,12.85714286,14,14.57142857,16.28571429
Microplastic,No beetle,MP-Ex-5,12.85714286,,,,12.57142857,13.42857143,13.71428571,16.28571429
