Treatment,Beetle,Plant_ID,V_E,V_C,V_1,V_2,V_3,V_4,V_5,V_6,V_7,V_8,V_9,V_10,V_11,V_12,V_13,V_14,V_15,V_16
Control,No Beetle,C-Sb-1,3,10,18,24,32,36,42,48,54,60,62,70,78,,,,,
Control,No Beetle,C-Sb-2,3,10,16,20,28,38,48,54,60,62,72,76,86,90,,,,
Control,No Beetle,C-Sb-3,3,10,18,28,36,42,48,54,58,62,68,76,80,,,,,
Control,No Beetle,C-Sb-4,3,10,18,24,32,38,42,50,54,56,62,64,76,86,90,,,
Control,No Beetle,C-Sb-5,4,10,16,24,32,42,48,54,58,62,68,78,94,,,,,
Control,No Beetle,C-Sb-6,3,10,18,24,32,36,48,50,58,62,68,76,80,82,,,,
Control,No Beetle,C-Sb-7,3,10,16,20,28,32,42,50,56,62,68,74,76,88,92,,,
Control,No Beetle,C-Sb-8,4,10,18,24,32,42,54,60,66,70,76,84,88,90,,,,
Control,Beetle,C-MBB-1,3,10,16,24,32,46,50,56,60,64,68,70,84,88,,,,
Control,Beetle,C-MBB-2,4,10,18,20,28,42,48,50,56,62,66,70,76,84,92,,,
Control,Beetle,C-MBB-3,3,10,16,24,32,36,46,50,56,62,64,68,76,86,90,,,
Control,Beetle,C-MBB-4,4,10,16,24,32,38,42,48,54,60,62,68,76,84,,,,
Control,Beetle,C-MBB-5,3,10,18,26,34,42,48,50,56,62,64,70,80,88,,,,
Control,Beetle,C-MBB-6,4,10,18,24,32,42,48,52,56,62,68,70,82,90,,,,
Control,Beetle,C-MBB-7,3,10,18,24,32,42,48,50,56,60,62,68,76,84,,,,
Control,Beetle,C-MBB-8,4,10,18,32,42,50,56,62,68,72,76,84,,,,,,
Control,No Beetle,C-Ex-1,4,10,16,20,28,34,42,48,54,58,64,70,76,84,90,,,
Control,No Beetle,C-Ex-2,4,10,18,24,32,38,46,50,56,64,68,70,80,84,,,,
Control,No Beetle,C-Ex-3,3,10,18,24,32,48,54,60,66,70,76,86,92,,,,,
Control,No Beetle,C-Ex-4,3,10,18,28,36,42,48,50,56,62,64,70,86,88,,,,
Control,No Beetle,C-Ex-5,4,10,18,24,32,42,48,50,56,64,68,70,76,,,,,
Microplastic,No Beetle,MP-Sb-1,3,10,16,20,28,32,42,50,56,62,64,70,76,82,92,,,
Microplastic,No Beetle,MP-Sb-2,4,10,18,24,28,32,42,48,54,56,62,66,72,76,84,,,
Microplastic,No Beetle,MP-Sb-3,4,10,16,20,28,32,42,50,56,62,68,78,80,86,88,,,
Microplastic,No Beetle,MP-Sb-4,5,10,18,20,24,32,36,50,58,62,72,76,80,82,92,,,
Microplastic,No Beetle,MP-Sb-5,4,10,16,20,28,32,42,48,56,62,64,68,72,80,82,,,
Microplastic,No Beetle,MP-Sb-6,4,10,16,20,28,32,42,50,54,58,64,68,76,80,84,,,
Microplastic,No Beetle,MP-Sb-7,4,10,16,18,22,28,32,38,50,56,62,68,70,76,82,84,90,92
Microplastic,No Beetle,MP-Sb-8,4,10,16,20,28,32,46,48,56,62,64,68,72,80,84,,,
Microplastic,Beetle,MP-MBB-1,4,10,16,22,28,32,42,46,50,56,62,64,70,76,92,,,
Microplastic,Beetle,MP-MBB-2,4,10,16,18,24,28,32,42,50,56,60,64,68,70,,,,
Microplastic,Beetle,MP-MBB-3,3,10,18,24,32,42,48,54,58,62,70,74,80,82,,,,
Microplastic,Beetle,MP-MBB-4,4,10,18,20,28,36,48,54,58,62,68,76,80,82,90,,,
Microplastic,Beetle,MP-MBB-5,3,10,18,24,32,36,42,46,50,58,60,62,68,76,,,,
Microplastic,Beetle,MP-MBB-6,4,10,16,20,28,32,38,48,54,62,64,68,74,76,92,,,
Microplastic,Beetle,MP-MBB-7,4,10,18,20,28,32,38,46,50,56,66,68,78,80,86,,,
Microplastic,Beetle,MP-MBB-8,4,10,16,20,28,32,48,50,56,60,66,68,76,78,86,88,,
Microplastic,No Beetle,MP-Ex-1,4,10,18,20,28,32,42,48,50,56,60,64,68,76,82,,,
Microplastic,No Beetle,MP-Ex-2,4,10,16,20,26,32,42,50,56,62,64,70,80,82,84,92,,
Microplastic,No Beetle,MP-Ex-3,3,10,16,20,28,32,42,48,50,58,62,68,70,76,86,92,,
Microplastic,No Beetle,MP-Ex-4,4,10,18,20,26,32,42,48,52,56,62,64,70,76,84,102,,
Microplastic,No Beetle,MP-Ex-5,4,10,18,24,28,32,40,42,52,56,62,68,80,86,90,,,
