Treatment,Plant_ID,Week_1,Week_2,Week_3,Week_4,Week_5,Week_6,Week_7
Control,C-MBB-1,17.04,34.94,37.53,35.56,35.14,,
Control,C-MBB-2,8.89,20.58,22.86,17.36,16.65,19.75,19.89
Control,C-MBB-3,9.42,21.08,22.91,20.98,20.05,21.6,21.02
Control,C-MBB-4,12.2,21.73,32.79,18.03,27.63,23.86,22.91
Control,C-MBB-5,11.5,15.78,12.71,12.22,11.39,13.53,13.62
Control,C-MBB-6,10.78,20.64,25.28,25.23,25.78,,
Control,C-MBB-7,6.27,15.67,17.26,17.12,17.16,17.3,16.69
Control,C-MBB-8,24.03,39.42,34.77,33.95,34.1,,
Microplastic,MP-MBB-1,3.49,12.74,11.79,11.41,11.15,12.49,12.21
Microplastic,MP-MBB-2,6.06,9.88,13.75,11.76,14.52,15.42,14.98
Microplastic,MP-MBB-3,10.43,12.61,12.29,11.23,11.28,,
Microplastic,MP-MBB-4,6.69,13.56,16.91,17.02,16.61,,
Microplastic,MP-MBB-5,5.38,10.48,12.17,11.03,10.52,13.41,13.3
Microplastic,MP-MBB-6,10.14,19.74,24.76,25.95,26.17,,
Microplastic,MP-MBB-7,7.13,11.1,13.13,12.82,11.51,13.69,12.52
Microplastic,MP-MBB-8,12.04,24.99,29.94,35.39,34.98,,
