Treatment,Beetle,Beetle_Week2,Beetle_Week3,Plant ID,Week_1,Week_2,Week_3,Week_4,Week_5,Week_6,Week_7,Week_8,Week_9,Week_10,Week_11
C_NB,N,N,N,C-Sb-1,1,1,1,1,1,1,1,1,1,1,1
C_NB,N,N,N,C-Sb-2,1,1,1,1,1,1,1,1,1,1,1
C_NB,N,N,N,C-Sb-3,0,0,0,1,1,1,1,1,1,1,1
C_NB,N,N,N,C-Sb-4,0,0,0,0,0,1,1,1,1,1,1
C_NB,N,N,N,C-Sb-5,1,1,1,1,1,1,1,1,1,1,1
C_NB,N,N,N,C-Sb-6,1,1,1,1,1,1,1,1,1,1,1
C_NB,N,N,N,C-Sb-7,0,0,0,0,0,0,0,0,0,0,0
C_NB,N,N,N,C-Sb-8,1,1,1,0,0,0,0,0,0,0,0
C_NB,N,N,N,C-MBB-1,1,1,1,1,1,1,1,1,1,1,1
C_B,Y,Y,N,C-MBB-2,0,0,0,1,1,1,1,1,1,1,1
C_NB,N,N,N,C-MBB-3,0,0,0,0,0,1,1,1,1,1,1
C_B,Y,Y,N,C-MBB-4,0,0,0,1,1,1,1,1,1,1,1
C_B,Y,Y,N,C-MBB-5,1,1,1,1,1,1,1,1,1,1,1
C_NB,N,N,N,C-MBB-6,1,1,1,1,1,1,1,1,1,1,1
C_NB,N,N,N,C-MBB-7,0,0,0,1,1,1,1,1,1,1,1
C_B,Y,N,Y,C-MBB-8,0,0,0,1,1,1,1,1,1,1,1
C_NB,N,N,N,C-Pf-1,0,0,0,1,1,1,1,1,1,1,1
C_NB,N,N,N,C-Pf-2,0,0,0,0,0,1,1,1,1,1,1
C_NB,N,N,N,C-Pf-3,0,0,0,0,0,0,0,0,0,0,0
C_B,Y,Y,N,C-Pf-4,0,0,0,0,1,1,1,1,1,1,1
C_NB,N,N,N,C-Pf-5,0,0,0,0,0,1,1,1,1,1,1
C_B,Y,Y,N,C-Pf-6,0,0,0,1,1,1,1,1,1,1,1
C_B,Y,Y,N,C-Pf-7,0,0,0,1,1,1,1,1,1,1,1
C_B,Y,N,Y,C-Pf-8,0,0,0,0,1,1,1,1,1,1,1
C_NB,N,N,N,C-Ex-1,0,0,0,0,0,1,1,1,1,1,1
C_NB,N,N,N,C-Ex-2,1,1,1,1,1,1,1,1,1,1,1
C_NB,N,N,N,C-Ex-3,0,0,0,0,0,0,0,0,0,0,0
C_NB,N,N,N,C-Ex-4,0,0,0,0,1,1,1,1,1,1,1
C_NB,N,N,N,C-Ex-5,0,0,0,0,0,0,0,0,0,0,0
MP_NB,N,N,N,MP-Sb-1,1,1,1,1,1,1,1,1,1,1,1
MP_NB,N,N,N,MP-Sb-2,0,0,0,0,0,0,0,0,0,0,0
MP_NB,N,N,N,MP-Sb-3,0,0,0,0,0,1,1,1,1,1,1
MP_NB,N,N,N,MP-Sb-4,0,0,0,0,0,0,1,1,1,1,1
MP_NB,N,N,N,MP-Sb-5,0,0,0,0,1,1,1,1,1,1,1
MP_NB,N,N,N,MP-Sb-6,0,0,0,1,1,1,1,1,1,1,1
MP_NB,N,N,N,MP-Sb-7,0,0,0,0,1,1,1,1,1,1,1
MP_NB,N,N,N,MP-Sb-8,0,0,0,0,0,0,0,1,1,1,1
MP_NB,N,N,N,MP-MBB-1,0,0,0,0,1,1,1,1,1,1,1
MP_B,Y,N,Y,MP-MBB-2,0,0,0,0,1,1,1,1,1,1,1
MP_NB,N,N,N,MP-MBB-3,1,1,1,1,1,1,1,1,1,1,1
MP_B,Y,N,Y,MP-MBB-4,1,1,1,1,1,1,1,1,1,1,1
MP_B,Y,N,Y,MP-MBB-5,0,0,0,0,1,1,1,1,1,1,1
MP_B,Y,N,N,MP-MBB-6,0,0,0,0,1,1,1,1,1,1,1
MP_NB,N,N,N,MP-MBB-7,1,1,1,1,1,1,1,1,1,1,1
MP_NB,N,N,Y,MP-MBB-8,1,1,1,1,1,1,1,1,1,1,1
MP_B,Y,N,Y,MP-Pf-1,1,1,1,1,1,1,1,1,1,1,1
MP_NB,N,N,N,MP-Pf-2,0,0,0,0,0,1,1,1,1,1,1
MP_NB,N,N,N,MP-Pf-3,0,0,0,1,1,1,1,1,1,1,1
MP_NB,N,N,N,MP-Pf-4,0,0,0,0,0,1,1,1,1,1,1
MP_B,Y,N,Y,MP-Pf-5,0,0,0,1,1,1,1,1,1,1,1
MP_B,Y,N,Y,MP-Pf-6,1,1,1,1,1,1,1,1,1,1,1
MP_NB,N,N,N,MP-Pf-7,1,1,1,1,1,1,1,1,1,1,1
MP_B,Y,N,Y,MP-Pf-8,1,1,1,1,1,1,1,1,1,1,1
MP_NB,N,N,N,MP-Ex-1,0,0,0,0,0,1,1,1,1,1,1
MP_NB,N,N,N,MP-Ex-2,1,1,1,1,1,1,1,1,1,1,1
MP_NB,N,N,N,MP-Ex-3,0,0,0,1,1,1,1,1,1,1,1
MP_NB,N,N,N,MP-Ex-4,0,0,0,0,0,0,0,0,0,0,0
MP_NB,N,N,N,MP-Ex-5,1,1,1,1,1,1,1,1,1,1,1
