Treatment,Plant_ID,Egg_mass,Num_Eggs,Eggs_hatched,Adults,prop_hat,prop_adult,,,,,,,,
Control,C-MBB-2,2,91,53,21,0.582417582,0.230769231,,,,,,,,
Control,C-MBB-4,1,36,18,5,0.5,0.138888889,,,,,,,,
Control,C-MBB-5,3,63,3,2,0.047619048,0.031746032,,,,,,,,
Control,C-MBB-8,0,0,0,0,NA,NA,,,,,,,,
Control,C-Pf-4,2,33,0,0,0,0,,,,,,,,
Control,C-Pf-6,0,0,0,0,NA,NA,,,,,,,,
Control,C-Pf-7,1,15,5,1,0.333333333,0.066666667,,,,,,,,
Control,C-Pf-8,2,81,45,19,0.555555556,0.234567901,,,,,,,,
Microplastic,MP-MBB-2,0,0,0,0,NA,NA,,,,,,,,
Microplastic,MP-MBB-4,2,19,8,6,0.421052632,0.315789474,,,,,,,,
Microplastic,MP-MBB-5,0,0,0,0,NA,NA,,,,,,,,
Microplastic,MP-MBB-6,1,20,0,0,0,0,,,,,,,,
Microplastic,MP-Pf-1,0,0,0,0,NA,NA,,,,,,,,
Microplastic,MP-Pf-5,1,11,0,0,0,0,,,,,,,,
Microplastic,MP-Pf-6,0,0,0,0,NA,NA,,,,,,,,
Microplastic,MP-Pf-8,0,0,0,0,NA,NA,,,,,,,,
