Treatment,Plant_ID,Date_Beetle_Added,Egg_mass_num,Date_Laid,Num_Eggs,Date_Hatched,Hatched,,,,,,,,,,,,
Control,C-MBB-2,7/20/2025,1,7/24/2025,32,na,0,,,,,,,,,,,,
Control,C-MBB-2,7/20/2025,2,7/25/2025,59,8/1/2025,1,,,,,,,,,,,,
Control,C-MBB-4,7/20/2025,1,7/30/2025,36,8/9/2025,1,,,,,,,,,,,,
Control,C-MBB-5,7/20/2025,1,7/26/2025,14,8/5/2025,1,,,,,,,,,,,,
Control,C-MBB-5,7/20/2025,2,7/27/2025,29,na,0,,,,,,,,,,,,
Control,C-MBB-5,7/20/2025,3,7/27/2025,20,na,0,,,,,,,,,,,,
Control,C-Pf-4,7/20/2025,1,7/29/2025,31,na,0,,,,,,,,,,,,
Control,C-Pf-4,7/20/2025,2,8/15/2025,2,na,0,,,,,,,,,,,,
Control,C-Pf-7,7/20/2025,1,7/30/2025,15,8/6/2025,1,,,,,,,,,,,,
Control,C-Pf-8,7/20/2025,1,8/3/2025,64,8/10/2025,1,,,,,,,,,,,,
Control,C-Pf-8,7/27/2025,2,8/15/2025,17,8/19/2025,1,,,,,,,,,,,,
Microplastic,MP-MBB-4,7/27/2025,1,8/5/2025,17,8/13/2025,1,,,,,,,,,,,,
Microplastic,MP-MBB-4,7/27/2025,2,8/9/2025,2,na,0,,,,,,,,,,,,
Microplastic,MP-MBB-6,7/27/2025,1,8/1/2025,20,na,0,,,,,,,,,,,,
Microplastic,MP-Pf-5,7/27/2025,1,8/3/2025,11,na,0,,,,,,,,,,,,
