Treat,Treatment,Week,Treatment_sum,Prop_F,Prop_t
C,Control_NB,1,9,1,31.03448276
MP,MP_NB,1,11,1,37.93103448
C,Control_B,1,0,0,0
MP,MP_B,1,0,0,0
C,Control_NB,2,8,0.888888889,27.5862069
MP,MP_NB,2,11,1,37.93103448
C,Control_B,2,1,0.111111111,3.448275862
MP,MP_B,2,0,0,0
C,Control_NB,3,8,0.888888889,27.5862069
MP,MP_NB,3,8,0.615384615,27.5862069
C,Control_B,3,1,0.111111111,3.448275862
MP,MP_B,3,5,0.384615385,17.24137931
C,Control_NB,4,10,0.625,34.48275862
MP,MP_NB,4,9,0.6,31.03448276
C,Control_B,4,6,0.375,20.68965517
MP,MP_B,4,6,0.4,20.68965517
C,Control_NB,5,11,0.578947368,37.93103448
MP,MP_NB,5,13,0.619047619,44.82758621
C,Control_B,5,8,0.421052632,27.5862069
MP,MP_B,5,8,0.380952381,27.5862069
C,Control_NB,6,16,0.666666667,55.17241379
MP,MP_NB,6,17,0.68,58.62068966
C,Control_B,6,8,0.333333333,27.5862069
MP,MP_B,6,8,0.32,27.5862069
C,Control_NB,7,16,0.666666667,55.17241379
MP,MP_NB,7,18,0.692307692,62.06896552
C,Control_B,7,8,0.333333333,27.5862069
MP,MP_B,7,8,0.307692308,27.5862069
C,Control_NB,8,16,0.666666667,55.17241379
MP,MP_NB,8,19,0.703703704,65.51724138
C,Control_B,8,8,0.333333333,27.5862069
MP,MP_B,8,8,0.296296296,27.5862069
C,Control_NB,9,16,0.666666667,55.17241379
MP,MP_NB,9,19,0.703703704,65.51724138
C,Control_B,9,8,0.333333333,27.5862069
MP,MP_B,9,8,0.296296296,27.5862069
C,Control_NB,10,16,0.666666667,55.17241379
MP,MP_NB,10,19,0.703703704,65.51724138
C,Control_B,10,8,0.333333333,27.5862069
MP,MP_B,10,8,0.296296296,27.5862069
C,Control_NB,11,16,0.666666667,55.17241379
MP,MP_NB,11,19,0.703703704,65.51724138
C,Control_B,11,8,0.333333333,27.5862069
MP,MP_B,11,8,0.296296296,27.5862069
