Treatment,Plant_ID,egg_mass_#,date_laid,Hatch_time,Eggs_laid,Eggs_hatched,Adults
C,C-MBB-2,1,7/24/2025,NA,32,0,NA
C,,2,7/25/2025,7,59,53,21
C,C-MBB-4,1,7/30/2025,10,36,18,5
C,C-MBB-5,1,7/26/2025,10,14,3,2
C,,2,7/27/2025,NA,29,0,NA
C,,3,7/27/2025,NA,20,0,NA
C,C-Pf-4,1,7/29/2025,NA,31,0,NA
C,,2,8/15/2025,NA,2,0,NA
C,C-Pf-7,1,7/30/2025,7,15,5,1
C,C-Pf-8,1,8/3/2025,7,64,37,18
C,,2,8/15/2025,4,17,8,1
MP,MP-MBB-4,1,8/5/2025,8,17,8,6
MP,,2,8/9/2025,NA,2,0,NA
MP,MP-MBB-6,1,8/1/2025,NA,20,0,NA
MP,MP-Pf-5,1,8/3/2025,NA,11,0,NA
