Treatment,Plant_ID,Egg_mass_num,Larvae_num,Weight_mg
C,C-MBB-2,2,1,17.92
C,C-MBB-2,2,2,18.73
C,C-MBB-2,2,3,17.22
C,C-MBB-2,2,4,15.5
C,C-MBB-2,2,5,15.23
C,C-MBB-2,2,6,15.83
C,C-MBB-2,2,7,17.61
C,C-MBB-2,2,8,15.01
C,C-MBB-2,2,9,16.43
C,C-MBB-2,2,10,19.33
C,C-MBB-2,2,11,15.41
C,C-MBB-2,2,12,18.09
C,C-MBB-2,2,13,18.26
C,C-MBB-2,2,14,17.26
C,C-MBB-2,2,15,17.82
C,C-MBB-2,2,16,18.11
C,C-MBB-2,2,17,18.92
C,C-MBB-2,2,18,19.98
C,C-MBB-2,2,19,15.9
C,C-MBB-2,2,20,15.69
C,C-MBB-2,2,21,18.74
C,C-MBB-4,1,1,15.95
C,C-MBB-4,1,2,19.51
C,C-MBB-4,1,3,16.59
C,C-MBB-4,1,4,16.87
C,C-MBB-4,1,5,17.91
C,C-MBB-5,1,1,15.84
C,C-MBB-5,1,2,19.26
C,C-Pf-7,1,1,15.47
C,C-Pf-8,1,1,15.5
C,C-Pf-8,1,2,16
C,C-Pf-8,1,3,16.8
C,C-Pf-8,1,4,17.9
C,C-Pf-8,1,5,18.23
C,C-Pf-8,1,6,15.85
C,C-Pf-8,1,7,18.03
C,C-Pf-8,1,8,16.99
C,C-Pf-8,1,9,15.22
C,C-Pf-8,1,10,18.5
C,C-Pf-8,1,11,19.36
C,C-Pf-8,1,12,18.51
C,C-Pf-8,1,13,17.45
C,C-Pf-8,1,14,18.37
C,C-Pf-8,1,15,16.62
C,C-Pf-8,1,16,17.34
C,C-Pf-8,1,17,15.98
C,C-Pf-8,1,18,17.2
C,C-Pf-8,2,1,19.4
MP,MP-MBB-4,1,1,16.78
MP,MP-MBB-4,1,2,17.15
MP,MP-MBB-4,1,3,17.07
MP,MP-MBB-4,1,4,15.97
MP,MP-MBB-4,1,5,18.85
MP,MP-MBB-4,1,6,18.9
