Treatment,Beetle,Plant_ID,Harvest,Trichome_count,,,,
"Control,",No Beetle,C-Sb-1,Week 15,85,,,,
"Control,",No Beetle,C-Sb-1,At Harvest,69,,,,
"Control,",No Beetle,C-Sb-2,Week 15,121,,,,
"Control,",No Beetle,C-Sb-2,At Harvest,104,,,,
"Control,",No Beetle,C-Sb-3,Week 15,86,,,,
"Control,",No Beetle,C-Sb-3,At Harvest,32,,,,
"Control,",No Beetle,C-Sb-4,Week 15,105,,,,
"Control,",No Beetle,C-Sb-4,At Harvest,168,,,,
"Control,",No Beetle,C-Sb-5,Week 15,77,,,,
"Control,",No Beetle,C-Sb-5,At Harvest,85,,,,
"Control,",No Beetle,C-Sb-6,Week 15,46,,,,
"Control,",No Beetle,C-Sb-6,At Harvest,103,,,,
"Control,",No Beetle,C-Sb-7,Week 15,78,,,,
"Control,",No Beetle,C-Sb-7,At Harvest,106,,,,
"Control,",No Beetle,C-Sb-8,Week 15,62,,,,
"Control,",No Beetle,C-Sb-8,At Harvest,73,,,,
"Control,",Beetle,C-MBB-1,Week 15,154,,,,
"Control,",Beetle,C-MBB-1,At Harvest,91,,,,
"Control,",Beetle,C-MBB-2,Week 15,167,,,,
"Control,",Beetle,C-MBB-2,At Harvest,113,,,,
"Control,",Beetle,C-MBB-3,Week 15,76,,,,
"Control,",Beetle,C-MBB-3,At Harvest,62,,,,
"Control,",Beetle,C-MBB-4,Week 15,118,,,,
"Control,",Beetle,C-MBB-4,At Harvest,92,,,,
"Control,",Beetle,C-MBB-5,Week 15,65,,,,
"Control,",Beetle,C-MBB-5,At Harvest,68,,,,
"Control,",Beetle,C-MBB-6,Week 15,83,,,,
"Control,",Beetle,C-MBB-6,At Harvest,83,,,,
"Control,",Beetle,C-MBB-7,Week 15,56,,,,
"Control,",Beetle,C-MBB-7,At Harvest,104,,,,
"Control,",Beetle,C-MBB-8,Week 15,96,,,,
"Control,",Beetle,C-MBB-8,At Harvest,71,,,,
"Control,",No Beetle,C-Ex-1,Week 15,184,,,,
"Control,",No Beetle,C-Ex-1,At Harvest,153,,,,
"Control,",No Beetle,C-Ex-2,Week 15,123,,,,
"Control,",No Beetle,C-Ex-2,At Harvest,92,,,,
"Control,",No Beetle,C-Ex-3,Week 15,99,,,,
"Control,",No Beetle,C-Ex-3,At Harvest,121,,,,
"Control,",No Beetle,C-Ex-4,Week 15,92,,,,
"Control,",No Beetle,C-Ex-4,At Harvest,106,,,,
"Control,",No Beetle,C-Ex-5,Week 15,99,,,,
"Control,",No Beetle,C-Ex-5,At Harvest,111,,,,
"Microplastic,",No Beetle,MP-Sb-1,Week 15,131,,,,
"Microplastic,",No Beetle,MP-Sb-1,At Harvest,116,,,,
"Microplastic,",No Beetle,MP-Sb-2,Week 15,62,,,,
"Microplastic,",No Beetle,MP-Sb-2,At Harvest,96,,,,
"Microplastic,",No Beetle,MP-Sb-3,Week 15,93,,,,
"Microplastic,",No Beetle,MP-Sb-3,At Harvest,62,,,,
"Microplastic,",No Beetle,MP-Sb-4,Week 15,91,,,,
"Microplastic,",No Beetle,MP-Sb-4,At Harvest,95,,,,
"Microplastic,",No Beetle,MP-Sb-5,Week 15,102,,,,
"Microplastic,",No Beetle,MP-Sb-5,At Harvest,85,,,,
"Microplastic,",No Beetle,MP-Sb-6,Week 15,107,,,,
"Microplastic,",No Beetle,MP-Sb-6,At Harvest,161,,,,
"Microplastic,",No Beetle,MP-Sb-7,Week 15,80,,,,
"Microplastic,",No Beetle,MP-Sb-7,At Harvest,115,,,,
"Microplastic,",No Beetle,MP-Sb-8,Week 15,123,,,,
"Microplastic,",No Beetle,MP-Sb-8,At Harvest,55,,,,
"Microplastic,",Beetle,MP-MBB-1,Week 15,61,,,,
"Microplastic,",Beetle,MP-MBB-1,At Harvest,98,,,,
"Microplastic,",Beetle,MP-MBB-2,Week 15,89,,,,
"Microplastic,",Beetle,MP-MBB-2,At Harvest,147,,,,
"Microplastic,",Beetle,MP-MBB-3,Week 15,127,,,,
"Microplastic,",Beetle,MP-MBB-3,At Harvest,103,,,,
"Microplastic,",Beetle,MP-MBB-4,Week 15,86,,,,
"Microplastic,",Beetle,MP-MBB-4,At Harvest,111,,,,
"Microplastic,",Beetle,MP-MBB-5,Week 15,69,,,,
"Microplastic,",Beetle,MP-MBB-5,At Harvest,137,,,,
"Microplastic,",Beetle,MP-MBB-6,Week 15,63,,,,
"Microplastic,",Beetle,MP-MBB-6,At Harvest,85,,,,
"Microplastic,",Beetle,MP-MBB-7,Week 15,90,,,,
"Microplastic,",Beetle,MP-MBB-7,At Harvest,58,,,,
"Microplastic,",Beetle,MP-MBB-8,Week 15,93,,,,
"Microplastic,",Beetle,MP-MBB-8,At Harvest,113,,,,
"Microplastic,",No Beetle,MP-Ex-1,Week 15,61,,,,
"Microplastic,",No Beetle,MP-Ex-1,At Harvest,77,,,,
"Microplastic,",No Beetle,MP-Ex-2,Week 15,278,,,,
"Microplastic,",No Beetle,MP-Ex-2,At Harvest,190,,,,
"Microplastic,",No Beetle,MP-Ex-3,Week 15,66,,,,
"Microplastic,",No Beetle,MP-Ex-3,At Harvest,52,,,,
"Microplastic,",No Beetle,MP-Ex-4,Week 15,74,,,,
"Microplastic,",No Beetle,MP-Ex-4,At Harvest,125,,,,
"Microplastic,",No Beetle,MP-Ex-5,Week 15,126,,,,
"Microplastic,",No Beetle,MP-Ex-5,At Harvest,109,,,,
